Agency,Requests Received
New York City Police Department,556
Chicago Police Department,508
Boston Police Department,369
Seattle Police Department,326
Massachusetts State Police,241
Los Angeles Police Department,236
San Francisco Police Department,189
Metropolitan Police Department,171
Philadelphia Police Department,155
Los Angeles County Sheriff's Department,139
Baltimore Police Department,134
Texas Department of Public Safety,132
Denver Police Department,124
Portland Police Bureau,119
Houston Police Department,111
San Diego Police Department,101
Austin Police Department,95
Columbus Division of Police,95
Detroit Police Department,95
Atlanta Police Department,95
Dallas Police Department,90
Las Vegas Metropolitan Police Department,87
St. Louis County Police Department,87
Long Beach Police Department,86
Illinois State Police,86
Minneapolis Police Department,86
Phoenix Police Department,83
St. Louis Metropolitan Police Department,83
New York State Police,82
Oakland Police Department,81
Cambridge Police Department,78
Virginia State Police,76
Orange County Sheriff's Office,75
Oklahoma City Police Department,75
Charlotte-Mecklenburg Police Department,75
Miami Police Department,75
Cleveland Police Department,73
Police Department,73
San Jose Police Department,73
Indianapolis Metropolitan Police Department,72
Milwaukee Police Department,72
Pennsylvania State Police,71
New Jersey State Police,69
Fort Worth Police Department,68
Department of Public Safety,66
Springfield Police Department,64
Michigan State Police,64
Vermont State Police,63
Sacramento Police Department,62
Oregon State Police,62
Albuquerque Police Department,62
Miami-Dade County Police,61
San Antonio Police Department,61
Buffalo Police Department,60
Maryland State Police,60
Kansas City Police Department,59
New Orleans Police Department,59
Connecticut State Police,58
Evanston Police Department,56
Tampa Police Department,55
Delaware State Police,55
Cook County Sheriff,54
Richmond Police Department,54
Indiana State Police,54
El Paso Police Department,54
Newark Police Department,54
Somerville Police Department,54
Baltimore County Police Department,54
Metropolitan Nashville Police Department,53
New Hampshire State Police,53
Tucson Police Department,53
Suffolk County Sheriff's Department,52
Memphis Police Department,52
Fairfax County Police Department,51
San Bernardino County Sheriff,51
Louisville Metro Police,51
Charlottesville Police Department,50
Broward County Sheriff,50
New Mexico State Police,49
Honolulu Police Department,49
Rhode Island State Police,48
Fresno Police Department,48
Police,48
Cincinnati Police Department,48
West Virginia State Police,48
Tacoma Police Department,47
Kentucky State Police,47
Maine State Police,47
Montgomery County Police Department,47
Raleigh Police Department,45
Worcester Police Department,45
Idaho State Police,44
Reno Police Department,44
Louisiana State Police,44
Jacksonville Sheriff's Office,43
Orlando Police Department,43
Ferguson Police Department,42
Spokane Police Department,41
Omaha Police Department,40
Prince George's County Police Department,38
Sheriff's Office,38
Durham Police Department,37
King County Sheriff's Office,37
Hawaii Department of Public Safety,37
Harris County Sheriff,36
Madison Police Department,36
Bakersfield Police Department,36
Pittsburgh Bureau of Police,36
Providence Police Department,35
North Carolina Department of Public Safety,35
Sacramento County Sheriff,35
Wilmington Police Department,35
Nassau County Police Department,34
Mesa Police Department,34
Lowell Police Department,34
Salem Police Department,34
Arlington Police Department,34
Chicago Office Of Police Accountability,33
Wichita Police Department,32
Multnomah County Sheriff's Office,32
Salt Lake City Police Department,31
Brookline Police Department,31
Executive Office of Public Safety and Security,30
Alameda County Sheriff's Office,30
Lee County Sheriff's Office,30
Maricopa County Sheriff,30
Chapel Hill Police Department,29
Burlington Police Department,29
Riverside County Sheriff,29
San Diego County Sheriff,29
Greensboro Police Department,29
Virginia Beach Police Department,29
Concord Police Department,29
Iowa Department of Public Safety,29
Palo Alto Police Department,29
Office of the Sheriff - Contra Costa County,28
Bellevue Police Department,28
Ventura County Sheriff's Department,28
Baton Rouge Police Department,28
Port Orchard Police Department,28
Birmingham Police Department,27
Stockton Police Department,27
Pierce County Sheriff's Department,27
Irvine Police Department,27
Oxnard Police Department,27
Quincy Police Department,27
Hartford Police Department,27
Berkeley Police Department,27
Toledo Police Department,26
Department of Public Safety and Correctional Services,26
Topeka Police Department,26
Lynn Police Department,26
Lawrence Police Department,26
Georgia Department of Public Safety,25
Polk County Sheriff,25
Columbia Police Department,25
Spokane County Sheriff's Office,25
Marin County Sheriff,25
DeKalb County Police Department,24
Hennepin County Sheriff,24
Tulsa Police Department,24
Scottsdale Police Department,24
Lincoln Police Department,24
Chula Vista Police Department,24
Amherst Police Department,24
Aurora Police Department,24
Plano Police Department,23
Monroe County Sheriff,23
San Mateo County Sheriff’s Office,23
Kern County Sheriff's Office,23
Jefferson County Sheriff,23
Rochester Police Department,23
Chandler Police Department,23
Colorado Springs Police Department,23
Glendale Police Department,23
San Diego County Sheriff's Department,23
Jacksonville Police Department,23
Boulder Police Department,22
Bristol County Sheriff's Office,22
Saint Paul Police Department,22
Washington County Sheriff's Office,22
Morton County Sheriff,22
Anaheim Police Department,22
Essex County Sheriff,21
Fall River Police Department,21
MBTA Transit Police,21
Gainesville Police Department,21
City of Albany Police Department,21
Alexandria Police Department,21
Fremont Police Department,21
New Bedford Police Department,21
Brockton Police Department,21
Fresno County Sheriff's Office,20
St. Petersburg Police Department,20
New Castle County Police Department,20
Little Rock Police Department,20
Arlington County Police Department,20
Norfolk Police Department,20
Lubbock Police Department,20
Newton Police Department,20
Revere Police Department,20
Everett Police Department,20
Kennewick Police,20
Winston-Salem Police Department,19
Jefferson County Sheriff's Department,19
Office of the Sheriff,19
Boise Police Department,19
Kansas City Kansas Police Department,19
Santa Ana Police Department,19
Fort Wayne Police,19
Franklin County Sheriff's Office,19
Lake County Sheriff's Office,19
Erie County Sheriff's Office,19
Ohio Department of Public Safety,19
Missouri Department of Public Safety,18
Brevard County Sheriff,18
Auburn Police Department,18
Watertown Police Department,18
Franklin Police Department,18
Oakland County Sheriff's Office,18
Corpus Christi Police Department,18
Olympia Police Department,18
Anchorage Police Department,18
Lewisville Police Department,18
Modesto Police Department,18
City of Fort Lauderdale Police Department,18
Pasadena Police Department,18
Hillsborough County Sheriff,18
Oklahoma Department of Public Safety,18
Syracuse Police Department,17
Vallejo Police Department,17
Des Moines Police Department,17
"Carlsbad, CA Police Department",17
Niles Police Department Illinois,17
Plymouth Police Department,17
Taunton Police Department,17
Pittsfield Police Department,17
Nevada Department of Public Safety,17
Imperial County Sheriff's Office,17
Charleston Police Department,17
Medford Police Department,17
Barnstable County Sheriff's Office,17
New Haven Police Department,17
Portland Police Department,17
North Charleston Police Department,17
Independent Police Review Authority,16
Milton Police Department,16
San Francisco Sheriff's Department,16
Irving Police Department,16
Gwinnett County Police Department,16
Chesapeake City Police Department,16
Utah Department of Public Safety,16
Laredo Police Department,16
Natick Police Department,16
Bloomington Police Department,16
Torrance Police Department,16
Suffolk County Police Department,16
Mississippi Department of Public Safety,16
Riverside Police Department,16
Port of Seattle Police Department,16
Arkansas State Police,16
Tempe Police Department,16
Alabama Department of Public Safety,16
Anne Arundel County Police Department,15
Santa Clara County Sheriff,15
Grand Prairie Police Department,15
Northampton Police Department,15
Santa Clara Police Department,15
Washington County Sheriff,15
Washoe County Sheriffs Office,15
Hayward Police Department,15
Jackson Police Department,15
Fairfield Police Department,15
San Bernardino Police Department,15
Ventura Police Department,15
Haverhill Police Department,14
Bellingham Police Department,14
Pinellas County Sheriff's Office,14
Montgomery Police Department,14
Braintree Police Department,14
Pima County Sheriff,14
Kent Police Department,14
Santa Monica Police Department,14
Fayetteville Police Department,14
Lafayette Police Department,14
Sheriff,14
Lakewood Police Department,14
Waco Police Department,14
Plymouth County Sheriff's Department,14
South Dakota Department of Public Safety,14
Henderson Police Department,14
Asheville Police Department,14
Orange Police Department,14
Howard County Police Department,13
Middletown Police Department,13
Frisco Police Department,13
Greenville Police Department,13
Hialeah Police Department,13
City of Santa Barbara Police Department,13
Alaska Department of Public Safety,13
Mckee Kentucky Sheriff's Department,13
Peoria Police Department,13
Oceanside CA Police Department,13
Gilbert Police Department,13
Garland Texas Police Department,13
Reading Police Department,13
City of North Las Vegas Police Department,13
Framingham Police Department,13
Skokie Police Department,13
Cresskill Police Department,13
Ramsey County Sheriff's Department,13
Norfolk County Sheriff's Office,13
Jackson County Sheriff's Office,13
"University of California, Berkeley Police Department",13
Kenosha Police Department,12
Santa Rosa Police Department,12
Milwaukee County Sheriff,12
Redlands Police Department,12
Savannah-Chatham Metropolitan Police Department,12
Fitchburg Police Department,12
Fontana Police Department,12
McKinney Police Department,12
Santa Cruz Police Department,12
Cumberland County Sheriff's Office,12
Jersey City Police Department,12
Central Falls Police Department,12
Palm Beach Sheriff's Office,12
Mount Prospect Police Department,12
Malden Police Department,12
Wareham Police Department,12
Clovis Police Department,12
Citrus Heights Police Department,12
Frederick County Sheriff's Office,12
Park Ridge Police Department,12
Green Bay Police Department,12
Loudoun County Sheriff's Office,12
Chelsea Police Department,12
Ontario Police Department,12
Morgan County Sheriff's Office,12
Wakefield Police Department,11
Warren Police Department,11
Miami Beach Police Department,11
Escondido Police Department,11
Sparks Police Department,11
San Diego Harbor Police Department,11
Collier County Sheriff's Office,11
Milford Police Department,11
Seminole County Sheriff,11
Knoxville Police Department,11
Montgomery County Sheriff's Office,11
Sarasota Police Department,11
Sarasota County Sheriff's Office,11
East Providence Police Department,11
Middlesex County Sheriff's Office,11
