Agency,Avg Days Till Completion
San Diego County Sheriff,31 days 04:01:28.833793384
San Diego Police Department,36 days 22:06:05.734984420
San Francisco Police Department,73 days 17:40:46.007620901
San Jose Police Department,73 days 03:49:00.936039933
Seattle Police Department,117 days 11:59:33.417632688
Sheriff's Office,89 days 00:53:00.514612768
Somerville Police Department,83 days 10:50:36.802978675
Spokane County Sheriff's Office,93 days 06:48:27.197931948
Spokane Police Department,134 days 08:45:43.518051640
Springfield Police Department,107 days 06:59:03.152741614
St. Louis County Police Department,35 days 09:57:34.368377882
St. Louis Metropolitan Police Department,86 days 18:52:58.999583766
Stockton Police Department,70 days 10:30:19.792615916
Suffolk County Sheriff's Department,157 days 00:00:25.206882806
Tacoma Police Department,118 days 03:34:21.597864504
Tampa Police Department,163 days 08:01:48.003147544
Texas Department of Public Safety,27 days 13:23:51.690117453
Toledo Police Department,97 days 20:25:39.469325501
Topeka Police Department,13 days 02:07:05.823033727
Tucson Police Department,126 days 02:00:20.814953426
Ventura County Sheriff's Department,67 days 08:09:42.277554923
Vermont State Police,47 days 23:50:19.433489567
Virginia Beach Police Department,143 days 10:57:04.540089158
Virginia State Police,13 days 23:07:26.744323604
West Virginia State Police,49 days 19:30:57.142471111
Wichita Police Department,28 days 01:45:29.952211166
Wilmington Police Department,53 days 20:55:50.561509217
Worcester Police Department,31 days 04:10:35.294117647
