Agency,Avg Days Till Completion
American Canyon Police Department,8 days 03:45:07.323613333
Ames Police Department,1 days 20:00:00
Amesbury Police Department,0 days 17:57:16.527613
Amherst Police Department,28 days 06:48:17.961447666
Amite County Sheriff's Department,44 days 17:44:39.784663
Amsterdam City Police Department,33 days 01:26:33.587445
Anadarko Police Department,4 days 16:24:26.978893
Anaheim Police Department,170 days 02:06:25.737491858
Anchorage Police Department,20 days 14:22:42.170621
Anderson County Sheriff,3 days 20:00:00
Andover Police Department,10 days 01:25:15.775914333
Androscoggin County Sheriff,6 days 18:46:08.334129
Angelica Village Police Department,22 days 01:06:44.367699
Angels Camp Police Department,26 days 17:16:42.996534
Ann Arbor Police Department,9 days 13:30:00
Annapolis Police Department,24 days 09:37:13.584923
Anne Arundel County Police Department,73 days 10:59:17.670817500
Anoka County Sheriff's Office,26 days 13:34:12.769104857
Anthony Texas Police,442 days 20:00:00
Antioch California Police Department,209 days 03:01:35.444693624
Antrim County Sheriff Michigan,22 days 17:03:54.575924
Antwerp Village Police Department,24 days 11:01:22.734067
Appleton Police Department,30 days 07:29:49.508963600
Aragon Police Department,126 days 08:34:33.102310
Arcade Police Department,21 days 08:34:33.102310
Arcade Village Police Department,30 days 10:34:59.422160
Arcadia Police Department,8 days 07:07:59.421954
Arcata Police Department,11 days 16:44:54.834468
Ardsley Police Department,58 days 21:33:56.377976500
Argyle Police Department,18 days 14:27:42.233240
Arkansas County Sheriff's Office,374 days 10:14:21.860141
Arkansas State Police,578 days 00:20:09.017365336
Arlington County Police Department,107 days 21:28:55.405416152
Arlington County Sheriff's Department,1235 days 07:46:40.209308992
Arlington Heights Police Department,11 days 01:27:43.421264
Arlington Police Department,125 days 17:40:15.756569502
Arvada Police Department,20 days 04:00:00
Arvin Police Department,13 days 20:00:00
Asbury Park Police Department,5 days 23:03:12.233863
Asharoken Village Police Department,324 days 11:17:49.293826
Asheville Police Department,23 days 13:00:37.947334083
Ashland Police Department,114 days 14:00:00
Asotin County Police Department,39 days 23:47:48.958369
Assumption Parish Sheriff's Office,8 days 20:00:00
Atascadero Police Department,28 days 00:47:57.441773
Athens Police Department,18 days 18:04:40.847530
Athens Village Police Department,599 days 02:37:58.041837496
Athens-Clarke Police Department,11 days 21:07:39.447334
Atherton Police Department,144 days 08:25:57.629625
Athol Police Department,9 days 04:22:14.825308
Atlanta Police Department,20 days 19:58:36.303734830
Atlantic City Police Department,309 days 08:22:21.081423752
Atlantic County Sheriff's Office,0 days 19:50:34.799850500
Atlantis Police Department,3 days 01:54:46.599292
Attica Village Police Department,36 days 08:19:08.638266
Attleboro Police Department,262 days 02:45:37.861964668
Auburn Police Department,49 days 15:02:33.829225083
Augusta Police Department,8 days 17:52:40.400577
Aurora Police Department,36 days 01:11:49.841527526
Austin Police Department,64 days 17:25:13.569968257
Aventura Police Department,0 days 16:13:35.632949
Avon Village Police Department,247 days 11:47:38.632401
Avondale Estates Police Department,1 days 01:00:58.979645
Ayer Police Department,8 days 13:19:51.732181333
Azusa Police Department,19 days 15:16:48.280290666
BART Police,34 days 08:00:00
BURLINGTON POLICE DEPARTMENT,9 days 19:00:00
Baca County Sheriff,474 days 11:59:19.532806496
Baker County Sheriff,14 days 19:10:08.459538
Baker County Sheriff's Office,15 days 16:08:23.591978
Bakersfield Police Department,113 days 22:50:35.344825666
Bal Harbour Police Department,30 days 23:36:48.735329
Baldwin County Sheriff's Office,23 days 16:42:01.257379
Baldwin Park Police Department,293 days 20:00:00
Baldwinsville Village Police Department,232 days 00:35:08.140629
Ball Ground Police Department,8 days 18:56:36.998570500
Ballston Spa Village Police Department,1 days 11:00:56.745992
Baltimore County Police Department,104 days 06:48:41.736691356
"Baltimore County, Md Sheriff's Office",112 days 23:38:25.080474
Baltimore Police Department,61 days 13:53:11.290538486
Bangor Police Department,11 days 08:41:27.486997
Banks County Sheriff's Office,96 days 21:41:05.770221
Banning Police Department,25 days 23:05:15.342053
Bannock County Sheriff,4 days 17:22:14.907007
Barboursville Police Dept,80 days 12:44:24.001371
Barker Village Police Department,4 days 14:13:28.164158
Barnstable County Sheriff's Office,13 days 17:23:04.233068250
Barnstable Police Department,559 days 11:40:23.286467416
Barren County Sheriff's Office,386 days 20:00:00
Barrington Police Department,35 days 08:00:00
Barstow Police Department,106 days 06:20:13.539931500
Bartlett Police Department,29 days 00:30:01.540733666
Bartow County Sheriff,0 days 22:43:03.049841
Bartow County Sheriffs Office,0 days 22:14:51.911786
Bartow Police Department,14 days 18:44:20.273428
Batavia City Police Department,98 days 09:14:56.964238
Baton Rouge Police Department,160 days 21:22:03.927161732
Batte Creek Police Department,37 days 20:00:00
Bay Area Rapid Transit Police,26 days 00:31:07.550158666
Bay City Police Department,1274 days 09:11:33.126674
Bayonne Police Department,21 days 23:27:03.969977
Beachwood Police,15 days 08:32:39.553887500
Beacon City Police Department,275 days 14:19:07.120903836
Bear Valley Police Department,34 days 15:35:05.148776
Beaufort County Sheriff's Office,20 days 09:02:01.666666666
Beaufort Police Department,31 days 20:00:00
Beaumont Police Department,105 days 02:22:27.453865166
Beauregard Parish Sheriffs Office,3 days 20:26:21.765349
Beaverhead County Sheriff's Office,33 days 17:36:15.772169
Beaverton Police Department,10 days 10:51:26.124993
Bedford Police Department,1161 days 13:00:56.942706
Bedford Police Department (tx),0 days 01:27:33.495581500
Bedminster Twp Police,3 days 22:33:16.512827
Bee Cave Police Department,17 days 19:00:00
Bell Gardens Police Department,33 days 05:59:07.426790666
Bell Police Department,16 days 17:23:58.006211500
Bellbrook Police Department,15 days 20:05:32.607291333
Belle Meade Police Department,95 days 08:45:19.174484
Belleville Police Department,7 days 21:25:17.850000
Bellevue Police Department,52 days 13:17:56.103571611
Bellingham Police Department,75 days 12:56:36.055854333
Bellmead Police Department,0 days 02:44:12.050218
Belmar Police Department,1 days 03:56:10.831617
Belmont Police Department,15 days 03:04:06.042937142
Beltsville Police Department,773 days 14:18:05.858829
Belvedere Police Department,10 days 08:43:15.828133
Ben Hill County Sheriff's Office,49 days 18:56:49.679260
Benicia Police Department,99 days 20:55:13.361616
Bensalem Township Police Department,50 days 01:41:31.189975
Bent County Sheriff,127 days 23:11:54.403528
Benton County Sheriff,32 days 19:46:12.356020
Benton County Sheriff's Office,104 days 22:23:05.129384800
Benzie County Sheriff's Office,12 days 19:31:11.088161
Bergen County (NJ) Department of Public Safety,790 days 19:00:00
Bergen County Police Department,201 days 03:09:35.993279666
Bergen County Sheriff's Office (NJ),96 days 21:09:51.905269750
"Bergen County Sheriff, NJ",133 days 18:43:47.827513
Berkeley County Sheriff,11 days 14:22:16.977071500
Berkeley County Sheriff's Office,41 days 20:00:00
Berkeley Police Department,159 days 18:14:30.648339760
Berkeley Police Review Commission,26 days 12:19:55.719792
Berks County Sheriff,189 days 15:20:59.733523
Berkshire County Sheriff's Office,29 days 11:02:43.454856
Berlin Police Department,165 days 18:30:56.151428
Bernalillo County Sheriff’s Department,6 days 22:02:14.225131
Bernardsville Police Department,37 days 17:21:41.121671500
Berrien County Sheriff,5 days 22:46:28.241069
Berwyn Police Department,25 days 11:32:25.391104
Bethel Park Police Department,371 days 11:11:52.358865004
Bethlehem Police Department,58 days 21:54:46.060648250
Beverly Hills Police Department,23 days 21:27:37.359479571
Bexar County Sheriff's Office,33 days 19:30:00
Bexley Police Department,8 days 19:10:23.466132
Bibb County Sheriff's Office,31 days 21:07:09.362003
Biddeford Police Department,15 days 20:00:00
Bienville Parish Sheriff's Office,30 days 08:00:00
Big Spring Police Department,319 days 20:00:00
Billings Police Department,10 days 20:00:00
Biloxi Police Department,48 days 11:40:00
Binghamton Police Department,77 days 23:20:17.157910625
Birmingham Police Department,266 days 04:08:18.535541500
Biscayne Park Police Department,28 days 06:23:24.485092
Bismarck Police Department,11 days 19:45:00
Black River Village Police Department,102 days 00:25:59.722213
Blacksburg Police Department,5 days 22:38:51.146935400
Blairsville Police Department,4 days 10:51:40.729067500
Blasdell Village Police Department,22 days 14:16:42.620158
Bloomfield Police Department,17 days 21:08:55.965998250
Bloomingdale Police Department (IL),9 days 08:44:51.666424
Bloomington Police Department,63 days 09:37:38.176871818
Blount County Sheriff,163 days 23:49:56.098539
Blue Mound Police Department,32 days 01:00:26.029941
Blue Springs Police Department,34 days 16:00:16.121868
Blythe Police Department,23 days 08:55:00.684703500
Boca Raton Police Department,46 days 10:16:10.103072
Boise Police Department,8 days 10:14:57.293575666
Bolingbrook Police Department,6 days 20:00:00
Bolivar County Sheriff,512 days 23:47:27.886624
Bolivar Police Department,75 days 19:20:17.840861
Bolton Town Police Department,101 days 12:16:32.124736
"Bond County Sheriff's Office, Bond County",99 days 07:46:57.698253
Bonner County Sheriff's Office,13 days 23:48:17.187833
Boone County Sheriff's Department,27 days 13:46:59.922886333
Boone County Sheriff's Office,12 days 23:44:38.351668
Bossier Parish Sheriff's Office,22 days 19:00:00
Bossier Sheriffs Office,56 days 17:28:21.882776
Boston Police Department,130 days 22:34:18.375387770
Boston University Police,64 days 19:48:00
Bothell Police Department,10 days 23:55:46.542942500
Boulder City Police Department,175 days 04:47:34.948046
Boulder County Sheriff's Office,11 days 16:30:33.477811166
Boulder Police Department,54 days 01:09:01.164181667
Boundary County Sheriff's Office,34 days 19:10:59.806901
Bow Police Department,15 days 21:08:46.638047
Bowie Police Department,21 days 16:05:25.582048500
Boynton Beach Police Department,11 days 14:32:40.129969
Bozeman Police Department,56 days 13:07:52
Bradenton Police Department,427 days 09:44:40.256295
Bradford County Sheriff's Office,33 days 20:00:00
Bradford Township Police Department,135 days 20:16:59.927195
Bradley Beach Police Department,110 days 19:00:00
Bradley County Sheriff's Office,10 days 21:30:25.394311
Braintree Police Department,480 days 19:52:22.562112328
Brandon Police Department,3 days 09:04:37.809085
Branson Police Department,45 days 19:32:53.495710
Brant Town Police Department,226 days 13:22:56.086442
Brawley Police Department,64 days 14:09:52.123410
Braxton County Sheriff,1510 days 00:56:00
Brazoria County Sheriff's Office,23 days 20:37:21.347640666
Brea Police Department,13 days 03:22:43.877048
Brentwood Police Department,18 days 17:51:43.497739714
Brevard County Sheriff,23 days 01:25:35.409783333
Brevard County Sheriff's Office,9 days 08:28:46.925149
Brewster Village Police Department,93 days 20:00:00
Bridge City Police Department,278 days 08:34:33.102310
Bridgeville Police Department,1953 days 04:26:48.930748
Bridgewater Township Police Department,19 days 08:45:19.174484
Bridgewater police department,3 days 23:01:14.879043
Brighton Town Police Department,188 days 16:54:44.190652
Brisbane Police Department,12 days 17:46:09.590098
Bristol County Sheriff's Office,90 days 18:05:12.347084462
Bristol Police Department,4 days 08:00:00
Bristol Township Police Department,20 days 23:39:42.011390
Bristow Police Department,26 days 20:00:00
Broadmoor Police Protection District,27 days 18:11:36.713273
Brockport Police Department,135 days 18:37:49.576789500
Brockton Police Department,239 days 23:57:52.159075
Broken Arrow Police Department,190 days 14:08:08.607312
Bronxville Police Department,1070 days 21:09:07.286715008
Brookfield Police Department,3 days 14:41:26.087662
Brookhaven Police Department,4 days 02:40:37.525310
Brookline Police Department,26 days 08:07:43.209358920
"Brooklyn Center, Mn Police",92 days 09:28:47.702119
Brooksville Police Department,5 days 20:00:00
Broome County Sheriff,65 days 11:59:06.410581750
Broome County Sheriffs Office,12 days 21:01:13.525420
Broomfield County Sheriff,24 days 02:27:15.257156
Broward County Sheriff,60 days 20:41:48.423229423
Brownsburg Police Department,22 days 20:00:00
Brownstown Police Department,4 days 20:00:00
Brownsville Police Department,39 days 20:55:09.270374750
Brownville Village Police Department,24 days 08:40:25.447480
Brunswick Police Department,17 days 20:00:00
Bryan County Sheriff's Office,76 days 07:41:05.145858
Buchanan Village Police Department,106 days 17:16:01.806226
Buckeye Police Department,51 days 21:40:00.138989
"Bucks County Sheriff, PA",89 days 04:20:49.958759
Buda Police Department,4 days 01:29:30.236542500
Buena Park Police Department,15 days 14:53:19.239565750
Buffalo Police Department,90 days 09:46:03.484072881
Bullhead City Police Department,101 days 20:00:00
Bulverde Police Department,11 days 20:17:17.222528
Buncombe County Sheriff,70 days 16:07:32.542796
Burbank Police Department,185 days 11:56:15.142234252
Burke County Sheriff's Office,322 days 10:13:05.544287
Burleigh County Sheriff's Department,33 days 20:00:00
Burlingame Police Department,18 days 09:26:48.922474666
Burlington County (NJ) Public Safety,416 days 19:00:00
Burlington County Sheriff,9 days 00:54:17.524234500
Burlington Police Department,324 days 04:53:20.083810352
Burnsville  Police Department,18 days 20:00:00
Burr Ridge Police Department,8 days 10:42:39.515436666
Burrillville Police Department,8 days 08:00:00
Butler County Sheriff,68 days 00:49:26.160645
Butler County Sheriff's Office,30 days 19:00:00
Butler Police Department,94 days 17:51:42.555206
Butte College Police Department,6 days 01:47:35.697488
Butte County Sheriff,12 days 09:35:56.509818200
Butts County Sheriff,1 days 17:00:59.079203
Butts County Sheriffs Dept,94 days 21:55:14.168445
Byron Police Department,3 days 09:29:17.768522500
CSU Bakersfield Police Department,23 days 04:59:38.247264
CSU Fullerton Police Department,29 days 20:31:42.936018
Cabarrus County Sheriff,22 days 20:45:21.367271
"Cabell County Sheriff's Office, WV",11 days 12:04:01.303871
Cache County Sheriff,30 days 22:41:58.625167
Cairo Town Police Department,0 days 20:00:00
Calais Police Department,0 days 20:00:00
Calaveras County Sheriff,9 days 15:30:47.854648666
Calaveras Sheriff's Office,34 days 01:25:31.185637
Calcasieu Parish Sheriff's Office,37 days 17:47:00.925677
Caldwell County Sheriff's Office,14 days 23:31:06.658055
Caldwell Parish Sheriff's Office,74 days 20:00:00
Caledonia Village Police Department,42 days 06:30:51.844034
Calexico Police Department,100 days 20:00:00
Calhoun County Sheriff Department,18 days 19:00:00
Calhoun County Sheriff's Department,27 days 19:30:00
Calhoun County Sheriff's Office,55 days 21:44:56.017148800
California City Police Department,23 days 18:12:32.030589
"California State University, Fullerton - University Police",15 days 03:20:00
Calumet City Police Department,32 days 00:06:22.835591
"Calvert County Sheriff's Department, Prince Frederick",123 days 01:59:59.888881
Cambria County Sheriff's Office,1 days 02:30:33.830225
