,Agency,Avg Days Till Completion
592,Creek County Sheriff's Office,041 days 20:00:00
593,Crescent City Police Department,041 days 00:52:52
594,Cresskill Police Department,047 days 15:59:48
595,Creve Coeur Police Department,061 days 06:51:28
596,Crisp County Sheriff's Office,055 days 17:28:10
597,Crittenden County Sheriff,079 days 20:40:41
598,Crook County Sheriff's Office,074 days 22:13:21
599,Croton-on-Hudson Village Police Department,327 days 15:42:29
600,Crowley County Sheriff,093 days 19:01:24
601,Crowley Police Department,011 days 19:50:23
602,Cuba Town Police Department,035 days 23:07:06
603,Culver City Police Department,070 days 00:11:57
604,Cumberland County Sheriff,01 days 18:59:41
605,Cumberland County Sheriff's Office,030 days 05:55:19
606,Cumberland Police Department,07 days 03:50:00
607,Cumming Police Department,07 days 17:18:25
608,Curry County Sheriff,413 days 00:56:00
609,Custer County Sheriff,035 days 08:00:00
610,Cuyahoga County Sheriff,032 days 20:00:00
611,Cypress Police Department,035 days 13:07:04
612,Dallas County Sheriff's Department,020 days 23:08:34
613,Dallas County Sheriff's Office,086 days 02:42:18
614,Dallas Police Department,107 days 20:08:49
615,Dallas Police Department (Ga),144 days 21:44:28
616,"Dallas, TX Police Department",055 days 20:00:00
617,Daly City Police Department,262 days 20:03:44
618,Danbury Police Department,027 days 14:09:18
619,Dane County Sheriff,030 days 17:28:12
620,Dansville Village Police Department,636 days 00:28:22
621,Danvers Police Department,073 days 01:45:00
622,Danville Police Department,026 days 20:00:00
623,Daphne Police Department,014 days 21:14:30
624,Darien Police Department,07 days 09:34:12
625,Darien Police Department IL,01 days 01:02:14
626,Davenport Police Department,345 days 18:03:01
627,Davidson County (tn) Sheriff's Of,016 days 21:01:03
628,Davidson County Sheriff,078 days 22:24:01
629,Davie County Sheriff's Office,055 days 04:12:50
630,Davie Police Department,109 days 02:24:23
631,Daviess County Sheriff,01 days 20:00:00
632,Davis Police Department,011 days 06:14:04
633,Dawson County Sheriff,07 days 16:06:10
634,Dayton Police Department,023 days 01:41:17
635,Daytona Beach Police Department,027 days 08:09:18
636,DeKalb County Police Department,021 days 20:56:48
637,DeSoto County Sheriff's Office,181 days 09:07:27
638,DeSoto Police Department TX,018 days 12:11:14
639,Dearborn County Sheriff,07 days 20:00:00
640,Dearborn Police Department,016 days 02:15:25
641,Decatur Police Department,586 days 16:54:00
642,Dedham Police Department,06 days 16:16:36
643,Deer Park Police Department,07 days 08:43:47
644,Deerpark Town Police Department,272 days 12:57:55
645,Dekalb County Sheriff's Office,08 days 04:34:08
646,Del Norte County Sheriff's Office,995 days 20:00:00
647,"Deland Police Department, Deland",05 days 00:57:32
648,Delano Police Department,064 days 20:00:00
649,Delaware County Sheriff,05 days 07:00:00
650,Delaware County Sheriff's Department,07 days 20:04:47
651,Delaware County Sheriff's Office,06 days 21:20:18
652,Delaware Police (Ohio),013 days 12:55:18
653,Delaware State Police,129 days 08:40:31
654,Delhi Village Police Department,422 days 12:03:07
655,Delray Police Dept,013 days 03:11:59
656,Delta County Sheriff,098 days 19:29:15
657,Denham Springs Police Department,05 days 20:00:00
658,Dennis Police Department,358 days 18:04:27
659,Denton County Sheriff,03 days 12:00:56
660,Denton Police Department,068 days 14:56:18
661,Denver County Sheriff,02 days 20:00:00
662,Denver Police Department,037 days 21:50:37
663,Department Of Police Accountability,264 days 16:48:51
664,"Department Of Public Safety, Georgia State Patrol",01 days 22:48:59
665,"Department Of State Police, Emergency Management And Homeland Security Division",06 days 22:00:22
666,"Department of Law and Public Safety, Division of Consumer Affairs",156 days 08:24:17
667,"Department of Law and Public Safety, Division of Legislative Affairs",013 days 12:24:24
668,Department of Public Safety,081 days 20:04:56
669,Department of Public Safety and Correctional Services,073 days 22:17:53
670,"Department of Public Safety, Architectural Access Board",014 days 19:40:00
671,Depew Village Police Department,054 days 23:00:16
672,Deposit Village Police Department,063 days 06:12:26
673,Derby Police Department,02 days 00:38:23
674,Derry Police Department,098 days 20:00:00
675,Des Moines Police Department,372 days 08:57:05
676,Des Plaines Police Department,019 days 05:31:07
677,Desert Hot Springs Police Department,015 days 10:20:52
678,Desoto County Sheriff's Department,00 days 10:29:52
679,"Desoto County Sheriff's Office, Desoto",028 days 03:36:22
680,Detroit Police Department,129 days 16:07:41
681,Detroit Public Schools Police K-12,063 days 20:00:00
682,Dewitt County Sheriff's Office,041 days 07:46:58
683,Dexter Village Police Department,168 days 21:12:02
684,Dickson County Sheriff's Office,015 days 22:08:03
685,Dighton Police Department,460 days 20:00:00
686,Dillard Police Department,014 days 11:49:06
687,Dilley Police Department,227 days 21:00:22
688,Dodge City Police Department,030 days 17:30:40
689,Donalsonville Police Department,082 days 00:00:23
690,Doral Police Department,048 days 20:35:34
691,Doraville Police Department,269 days 11:43:47
692,Dorchester County Sheriff,02 days 16:36:10
693,Dorchester County Sheriff's Office,154 days 20:00:00
694,Dothan Police Department,027 days 21:26:17
695,Dougherty County Sheriff,02 days 20:58:13
696,Douglas County Sheriff,020 days 01:50:32
697,Douglas County Sheriff's Office,029 days 12:15:05
698,Douglas County Sheriffs Office (NV),013 days 12:02:23
699,Douglasville Police Department,03 days 08:33:56
700,Dover Police Department,01 days 14:46:20
701,Downers Grove Police Department,036 days 00:18:20
702,Downey Police Department,586 days 15:24:13
703,Doylestown Township Police Department,119 days 08:00:00
704,Dracut Police Department,08 days 20:00:00
705,Dryden Police Department,119 days 05:31:32
706,DuPage County Sheriff,012 days 12:00:00
707,Dublin Police Department (OH),023 days 06:29:31
708,Dubuque Police Department,016 days 20:00:00
709,Dudley Police Department,00 days 19:00:00
710,Duke University Police Department,07 days 19:00:00
711,Duluth Police Department,710 days 04:06:11
712,Dunwoody Police Department,012 days 12:11:14
713,Duplin County Sheriff's Office,050 days 23:13:16
714,Durham County Sheriff's Office,059 days 19:00:00
715,Durham Police Department,040 days 04:13:41
716,Duval County Sheriff,020 days 17:50:42
717,Duxbury Police Department,08 days 21:34:42
718,Eagle Mountain Police Department,056 days 14:25:38
719,Early County Sheriff's Office,085 days 00:56:52
720,East Baton Rouge Parish Sheriff's Office,023 days 13:58:56
721,East Brandywine Township Police Department,052 days 20:00:00
722,East Carolina State University Police Department,089 days 22:55:40
723,East Carroll Parish Sheriff's Office,226 days 12:19:12
724,East Feliciana Parish Sheriff's Office,011 days 20:00:00
725,East Fishkill Town Police Department,019 days 22:42:19
726,East Greenbush Police Department,036 days 20:00:00
727,East Greenwich Police Department,04 days 15:46:49
728,East Hampton Town Police Department,141 days 15:39:48
729,East Hampton Village Police Department,019 days 07:30:00
730,East Lansing Police Department,046 days 07:30:00
731,East Liverpool Police Department,00 days 20:00:00
732,East Palo Alto Police Department,261 days 14:52:26
733,East Providence Police Department,06 days 16:48:34
734,East Rochester Village Police Department,132 days 17:46:21
735,East Rutherford Police Department,034 days 00:02:48
736,Easthampton Police Department,02 days 06:29:19
737,Eastland County Sheriff's Office,1439 days 00:16:00
738,Easton Police Department,039 days 20:00:00
739,Echols County Sheriff's Office,010 days 07:41:05
740,Echols County Sheriffs Office,04 days 12:11:14
741,Eddy County Sheriff's Department,024 days 20:00:00
742,Eden Police Department,100 days 03:29:40
743,Edgewood Borough Police,059 days 02:33:56
744,Edinburg Police Department,032 days 22:45:35
745,Edison Police Department,172 days 16:29:30
746,Edwardsville Police Department,06 days 20:00:31
747,Effingham County Sheriff's Office,041 days 07:46:58
748,El Cajon Police Department,120 days 02:21:46
749,El Cerrito Police Department,00 days 21:38:11
750,El Dorado County Sheriff's Office,104 days 18:41:09
751,El Dorado Police Department,05 days 11:57:23
752,El Monte Police Department,030 days 12:12:18
753,El Paso County Sheriff,067 days 05:47:48
754,El Paso Police Department,059 days 18:01:13
755,El Segundo Police Department,023 days 03:43:14
756,Elbert County Sheriff,00 days 20:00:00
757,Elgin Police Department,036 days 21:53:21
758,Elk Grove Police Department,061 days 05:09:32
759,Elk River Police Department,058 days 17:51:57
760,Elkhart Police Department,033 days 08:43:02
761,Elkins City Police Department,032 days 19:00:00
762,Elko County Nevada Sheriff's Office,037 days 22:24:51
763,Elko Police Department,012 days 15:35:42
764,Ellensburg Police Department,018 days 19:00:00
765,Ellenville Village Police Department,059 days 20:00:00
766,Ellicottville Town Police Department,217 days 22:26:35
767,Ellis County Sheriff's Department,00 days 00:56:00
768,Elmhurst Police Department,07 days 23:36:12
769,Elmira Heights Village Police Department,167 days 12:43:35
770,"Elmwood Park, NJ Police Department",059 days 08:22:22
771,Eloy Police Department,033 days 19:00:00
772,Emerson College Police,039 days 19:00:00
773,Emeryville Police Department,040 days 02:42:08
774,Emmet County Sheriff’s Office,08 days 01:22:02
775,Emporia Police Department,01 days 21:08:00
776,Enfield Police Department,054 days 16:57:29
777,Englewood Cliffs Police Department,019 days 19:22:13
778,Englewood Police Department,047 days 10:52:19
779,Enid Police Department,036 days 16:01:08
780,Enumclaw Police Department,021 days 22:23:14
781,Erie County Central Police Services,027 days 19:00:00
782,Erie County Sheriff,04 days 18:21:51
783,Erie County Sheriff's Office,1169 days 07:53:28
784,Erie Police Department,289 days 12:08:48
785,Erlanger Police Department,06 days 08:59:21
786,Escambia County Sheriff's Office,111 days 05:14:48
787,Escondido Police Department,056 days 08:39:34
788,Essex County Sheriff,021 days 05:18:27
789,Essex County Sheriff's Office,00 days 19:27:26
790,Etna Borough Police Department,416 days 19:30:00
791,Etna Police Department,032 days 15:32:58
792,Euclid Police Department,029 days 19:00:00
793,Eufaula Police Department,01 days 20:00:00
794,Eugene Police Department,104 days 20:10:49
795,Eureka Police Department,018 days 18:06:09
796,Evangeline Parish Sheriff's Office,013 days 20:00:00
797,Evans County Sheriff's Office,015 days 07:41:05
798,Evanston Police Department,035 days 20:53:37
799,Evansville Police Department,064 days 19:06:01
800,Everett Police Department,078 days 19:47:15
801,Evergreen Park Police Department,09 days 03:42:36
802,Excelsior Springs Police Department,01 days 22:47:01
803,Executive Office of Public Safety and Security,142 days 13:31:23
804,Fairbanks Police Department,04 days 19:00:00
805,Fairfax County Department Of Public Safety Communications,00 days 19:10:46
806,Fairfax County Police Department,015 days 22:19:10
807,Fairfax County Sheriff,09 days 13:29:47
808,Fairfield Police Department,031 days 00:18:16
809,Fairmont Police Department,05 days 12:48:35
810,Fairport Village Police Department,041 days 18:23:42
811,Falfurrias Police Department,033 days 20:00:00
812,Fall River Police Department,058 days 01:08:58
813,Falls Church Police Department,056 days 20:37:04
814,Fallsburg Police Department,148 days 07:05:46
815,Falmouth Police Department,017 days 07:37:30
816,Fannin County Sheriff's Office,091 days 19:43:20
817,Fargo Police Department,028 days 22:16:02
818,Farmers Branch Police Department,078 days 12:28:53
819,Farmington Hills Police Department,027 days 14:44:41
820,Farmington Police Department,012 days 11:01:34
821,Faulkner County Sheriff's Office,022 days 23:48:26
822,Fayette County Sheriff,05 days 19:03:06
823,Fayette County Sheriff's Office,322 days 23:05:21
824,Fayetteville Police Department,428 days 21:51:10
825,Federal Way Police Department.,044 days 13:54:18
826,Fenton Police Department,042 days 20:00:00
827,Fentress County Sheriff,09 days 20:05:23
828,Ferguson Police Department,105 days 21:29:26
829,Ferndale Police Department,011 days 16:11:50
830,Fishkill Police Department,188 days 08:06:00
831,Fitchburg Police Department,462 days 02:34:47
832,Fitzgerald Police Department,101 days 12:11:14
833,Flagler County Sheriff's Office,019 days 20:00:00
834,Flagstaff Police Department,106 days 19:04:35
835,Flathead County Sheriff's Office,105 days 19:00:00
836,Flemington Police Department,032 days 23:28:10
837,Flint Police Dept.,057 days 13:48:19
838,Floral Park Village Police Department,01 days 22:06:15
839,Florence Police Department,144 days 08:59:00
840,Florida City Police Department,019 days 08:20:22
841,Florida Village Police Department,110 days 21:02:23
842,Florissant Police,254 days 20:02:57
843,Flower Mound Police Department,073 days 13:13:16
844,Flowood Police Department,041 days 13:07:05
845,Floyd County Sheriff,068 days 07:38:21
846,Foley Police Department,010 days 23:20:11
847,Folsom Police Department,012 days 19:34:39
848,Fontana Police Department,157 days 07:26:11
849,Ford County Sheriff's Office,013 days 17:43:07
850,Forsyth County Sheriff,06 days 20:55:55
851,Forsyth County Sheriff's Office,274 days 01:05:56
852,Fort Bend County Sheriff's Office,267 days 18:19:09
853,Fort Bragg Police Department,028 days 08:01:02
854,Fort Myers Police Department,042 days 10:53:58
855,Fort Pierce Police Department,04 days 16:49:20
856,Fort Scott Police Department,020 days 12:06:03
857,Fort Walton Beach Police Department,015 days 20:00:00
858,Fort Wayne Police,082 days 11:49:01
859,Fort Worth Police Department,083 days 21:35:46
860,Fortuna Police Department,014 days 00:56:43
861,Foster City Police Department,015 days 14:54:05
862,Foster Police Department,015 days 02:00:00
863,Fountain Valley Police Department,018 days 11:00:41
864,Fox Valley Metro Police,019 days 19:10:02
865,Foxborough Police Department,600 days 16:17:09
866,Framingham Police Department,012 days 21:27:05
867,Framingham State University Police,1080 days 11:47:38
868,Franconia Police Department,04 days 22:12:56
869,Frankfort Police Department,07 days 10:25:08
870,Franklin County Sheriff's Department,035 days 10:45:06
871,Franklin County Sheriff's Office,192 days 14:57:48
872,"Franklin County Sheriff's Office, Pasco, Washington State",026 days 10:31:18
873,Franklin County sheriff,09 days 20:31:57
874,Franklin Police Department,03 days 17:01:10
875,Frederick County Sheriff's Office,160 days 12:09:12
876,Fredericksburg Police Department,06 days 19:00:00
877,Freeport Village Police Department,233 days 09:14:50
878,Freetown Police Department,340 days 19:00:00
879,Fremont County Sheriff,09 days 08:48:21
880,Fremont Police Department,018 days 13:35:48
881,Fresno County Sheriff's Office,186 days 15:47:38
882,Fresno Police Department,105 days 23:20:11
883,Friendship Town Police Department,440 days 09:00:41
884,Frisco Police Department,026 days 20:45:59
885,Fullerton Police Department,128 days 05:24:48
886,Fullerton Police Department CA,071 days 01:44:32
887,Fulton County Police Department,021 days 19:00:00
888,Fulton County Sheriff,018 days 10:14:22
889,Fulton County Sheriff's Department,03 days 19:49:15
890,Fulton County Sheriff's Office,178 days 08:00:56
891,Fulton Police Department,258 days 23:25:18
892,Gadsden County Sheriff's Office,013 days 19:00:00
893,"Gadsden, AL Police Department",121 days 19:00:00
894,Gainesville Police Department,052 days 09:11:43
895,Gallatin County Sheriff's Office,103 days 20:16:28
896,Gallup Police Department,047 days 19:00:00
897,Galt Police Department,012 days 02:38:03
898,Galveston Police Department,023 days 13:29:56
899,Garden City Police Department,032 days 20:52:45
900,Garden City Village Police Department,057 days 11:38:01
901,Garden Grove Police Department,056 days 04:34:30
902,Gardena Police Department,054 days 11:02:46
903,Gardner Police Department,196 days 02:46:40
904,Garfield County Sheriff,03 days 20:00:00
905,Garland County Sheriff,023 days 01:56:46
906,Garland Texas Police Department,039 days 04:44:48
907,Gary Police Department,168 days 20:00:00
908,Garza County Sheriff's Office,017 days 18:33:42
909,Gaston County Police Department,076 days 19:00:00
910,Gaston County Sheriff,127 days 06:42:54
911,Gastonia Police Department,044 days 19:52:36
912,Gates Town Police Department,193 days 21:43:40
913,Geddes Town Police Department,198 days 08:51:09
914,Gem County Sheriff's Office,019 days 21:02:20
915,Genesee County Sheriff,100 days 00:16:54
916,Geneseo Village Police Department,035 days 21:40:28
917,Geneva City Police Department,378 days 07:28:58
918,Geneva Police Department,031 days 20:00:00
919,Georgia Department of Public Safety,032 days 04:57:55
920,"Georgia Institute of Technology Police Department, Office of Emergency Preparedness",04 days 08:00:00
921,Georgia Tech Police Department,038 days 01:48:17
922,Germantown Police Department,019 days 04:29:17
923,Gettysburg Police Department,024 days 00:52:16
924,Giddings Police Department,640 days 05:08:42
925,Gila County Sheriff's Office,229 days 20:00:00
926,Gilbert Police Department,039 days 05:39:58
927,Giles County Sheriff,07 days 06:22:07
928,Giles County Sheriff's Office,568 days 11:34:54
929,Gilmer County Sheriff's Office,09 days 18:38:24
930,Glades County Sheriff's Office,313 days 05:34:02
931,Glascock County Sheriff's Office,010 days 07:41:05
932,Glen Cove Police Department,024 days 20:00:00
933,Glen Ellyn Police Department,011 days 22:38:56
934,Glen Park Village Police Department,015 days 04:37:09
935,Glendale Police Department,118 days 21:56:46
936,"Glendora, CA Police Department",020 days 04:07:45
937,Glenn County Sheriff,019 days 10:25:29
938,Glenn County Sheriffs Office,08 days 00:27:37
939,Glenview Police Department Illinois,012 days 02:49:35
940,Glenwood Springs Police Department,043 days 20:00:00
941,Globe Sheriff's Office,03 days 19:00:00
942,Glocester Police Department,02 days 02:00:00
943,Gloucester Police Department,1201 days 20:00:00
944,Gloversville City Police Department,349 days 04:39:43
945,Glynn County Sheriff's Department,021 days 19:59:38
946,Goffstown Police Department,012 days 21:14:12
947,Gogebic County Sheriff,011 days 07:24:14
948,Golden Beach Police Department,112 days 12:50:35
949,Golden Valley Police Department,117 days 21:59:00
950,"Goleta, CA Police Department",019 days 20:00:00
951,Gooding County Sheriff's Office,1036 days 03:12:53
952,Goodyear Police Department,023 days 20:45:30
953,Gordon County Sheriff's Office,112 days 22:12:03
954,Goshen Police Department,01 days 20:00:00
955,Goshen Town Police Department,437 days 15:32:40
956,Graham County Sheriff's Department,022 days 22:23:20
957,Graham Police Department,299 days 03:55:23
958,Grand Forks Police Department,03 days 19:34:42
959,Grand Island Town Police Department,055 days 11:42:36
960,Grand Junction Police Department,03 days 13:53:19
961,Grand Prairie Police Department,040 days 10:07:54
962,Grand Rapids Police Department,150 days 03:40:00
963,Grant County Sheriff,040 days 09:50:26
964,Grant County Sheriff's Office,092 days 10:14:22
965,Grants Pass Department of Public Safety,031 days 22:33:58
966,Grantville Police Department,00 days 20:52:38
967,Granville Village Police Department,089 days 08:31:32
968,Gratiot County Sheriff,036 days 08:01:28
969,Graves County Sheriff's Office,016 days 11:16:38
970,Graymoor-devondale Police Department,02 days 10:17:00
971,Grays Harbor County Sheriff's Office,034 days 15:48:07
972,Grayson County Sheriff's Office,016 days 19:00:00
973,Great Barrington Police Department,06 days 23:45:19
974,Great Falls Police Dept.,033 days 19:08:28
975,Great Neck Estates Village Police Department,061 days 20:37:56
976,Greece NY Police Department,041 days 21:15:16
977,Greeley Police Department,022 days 20:00:00
978,Green Bay Police Department,214 days 19:45:29
979,"Green Cove Springs, Police Department",036 days 22:45:03
980,Green Island Village Police Department,350 days 11:32:11
981,Greenburgh Police Department,022 days 17:58:42
982,Greene County Sheriff,056 days 03:15:03
983,Greene County Sheriff's Department,08 days 23:40:52
984,Greene County Sheriff's Office,397 days 01:46:48
985,"Greene County, Ms Sheriff's Office",041 days 12:34:24
986,Greene Village Police Department,047 days 17:11:14
987,Greenfield Police Department,013 days 01:29:04
988,Greensboro Police Department,141 days 23:39:56
989,Greensburg Police Department,061 days 11:08:15
990,Greenville County Sheriff's Department,028 days 11:59:40
991,Greenville Police Department,052 days 09:26:51
992,Greenwood Lake Village Police Department,187 days 05:35:39
993,Greer Police Department,00 days 19:00:00
994,Griffith Police Department (IN),012 days 22:19:44
995,Grosse Ile Police,04 days 19:39:58
996,Grosse Pointe Park Public Safety,106 days 00:12:19
997,Groton Police Department,00 days 01:31:29
998,Groton Village Police Department,341 days 11:53:03
999,Grover Beach Police Department,011 days 21:33:31
1000,Grundy County Sheriff's Office,091 days 16:00:18
1001,Guadalupe County Sheriff,571 days 03:13:30
1002,Guadalupe Police Department,046 days 22:28:34
1003,Guam Police Department,055 days 20:00:00
1004,Guilderland Police,195 days 06:35:37
1005,Guilford County Sheriff's Office,135 days 00:10:16
1006,Gulf Breeze Police Department,03 days 22:35:25
1007,Gulf County Sheriff's Office,01 days 19:49:45
1008,Gunnison Police Department,02 days 20:25:12
1009,Gurnee Police Department,01 days 14:54:48
1010,Gwinnett County Police Department,098 days 18:16:43
1011,Gwinnett County Sheriff,022 days 21:52:54
1012,Haddon Heights Police Department,03 days 20:00:00
1013,Hadley Police Department,01 days 20:00:00
1014,Hagan Police Department,07 days 01:46:51
1015,Hagerstown City Police Department,049 days 04:14:03
1016,Hagerstown Police Department,058 days 20:49:35
1017,Haines City Police Department,09 days 21:30:05
1018,Hall County Sheriff,021 days 01:06:10
1019,Hamblen County Sheriff,06 days 19:24:04
1020,Hamburg Village Police Department,390 days 04:40:00
1021,Hamilton County Sheriff,05 days 08:00:00
1022,Hamilton County Sheriff (ID),024 days 22:56:43
1023,Hamilton County Sheriff's Office,012 days 03:47:35
1024,Hamilton Township North Police Department,014 days 20:00:00
1025,Hamilton county sheriff's office,025 days 12:36:48
1026,Hammond Police Department,289 days 06:21:44
1027,Hammondsport Village Police Department,092 days 20:17:38
1028,Hampden County Sheriff's Office,012 days 07:09:49
1029,Hampshire County Sheriff,038 days 10:10:44
1030,Hampton Police Division,360 days 12:31:09
1031,Hancock County Sheriff,014 days 07:19:17
1032,Hancock County Sheriff's Office,013 days 21:32:18
1033,Hancock Village Police Department,239 days 08:56:43
1034,Hanson Police Department,167 days 22:08:52
1035,Hardee County Sheriff's Office,051 days 03:36:25
1036,Hardin County Sheriff,253 days 17:44:33
1037,Hardin County Sheriff's Office,076 days 07:46:58
1038,Hardin County Sheriffs Office,097 days 22:07:34
1039,Harlingen Police Department,07 days 08:00:00
1040,Harnett County Sheriff,086 days 19:13:39
1041,Harris County Sheriff,093 days 22:52:10
1042,Harris County Sheriff's Office,030 days 21:56:02
1043,Harrisburg Police Department,190 days 16:40:49
1044,Hart County Sheriff's Office,07 days 22:53:48
1045,Hartford Police Department,235 days 06:46:38
1046,Harvard University Police,035 days 13:30:39
1047,Harwood Heights Police Department Illinois,054 days 03:10:17
1048,Haverhill Police Department,09 days 02:49:05
1049,Hawaii Department of Public Safety,035 days 22:41:53
1050,Hawaii Police Department,025 days 10:40:35
1051,Hawkins County Sheriff,516 days 06:22:07
1052,Hawthorne Police Department,224 days 20:17:28
1053,Hays County Sheriff's Office,013 days 19:29:39
1054,Haysville Police Department,06 days 00:24:42
1055,Hayward Police Department,166 days 05:37:18
1056,Haywood County Sheriff's Office,057 days 01:50:59
1057,Heidelberg Police Department,017 days 08:00:00
1058,Helena Police Department,126 days 03:22:30
1059,Hemet Police Department,017 days 07:17:47
1060,Henderson County Sheriff's Office,013 days 20:58:03
1061,Henderson Police,053 days 17:26:06
1062,Henderson Police Department,082 days 09:27:28
1063,Hendry County Sheriff,075 days 21:57:10
1064,Hennepin County Sheriff,107 days 22:05:25
1065,Hennepin County Sheriff's Office,040 days 02:06:16
1066,Henrico County Sheriff,00 days 02:23:39
1067,Henry County Sheriff,083 days 07:41:05
1068,Hercules Police Department,021 days 15:48:35
1069,Herkimer County Sheriff's Office,020 days 11:20:05
1070,Hermosa Beach Police Department,017 days 19:36:50
1071,Hernando County Sheriff's Department,043 days 06:47:33
1072,Herndon Police Department,018 days 05:32:56
1073,Hialeah Gardens Police Department,033 days 23:19:45
1074,Hialeah Police Department,135 days 11:29:43
1075,Hickory Hills Police Department,019 days 21:01:16
1076,Hidalgo County Sheriff's Office,171 days 11:33:10
1077,High Point Police Department,060 days 00:42:50
1078,Highland County Sheriff,201 days 20:59:22
1079,Highland Park Dept of Public Safety,087 days 05:15:54
1080,Highland Park Police Department,06 days 19:30:00
1081,Hill Country Village Police Department,014 days 00:24:21
1082,Hillsboro Police Department,490 days 23:25:52
1083,Hillsborough County Sheriff,037 days 23:41:49
1084,Hillsborough Police Department,03 days 22:54:04
1085,Hillsdale County Sheriff's Office,023 days 05:16:53
1086,Hinds County Sheriff,210 days 20:00:00
1087,Hinesville Police Department,019 days 11:05:23
1088,Hingham Police Department,303 days 07:30:00
1089,Hinsdale County Sheriffs Office,08 days 23:24:36
1090,Hinsdale Police Department,119 days 09:35:00
1091,Hiram Police Department,02 days 11:00:24
1092,Hobbs Police Department,176 days 08:39:30
1093,Hocking County Sheriff,014 days 20:00:00
1094,Hogansville Police Department,08 days 21:47:25
1095,Holbrook Police Department,01 days 19:41:50
1096,Holden Police Department,059 days 18:45:17
1097,Hollis Police Department,011 days 23:18:01
1098,Hollister Police Department,00 days 18:06:56
1099,Holly Springs Police Department,017 days 19:29:17
1100,Hollywood Park Police Department,00 days 21:57:01
1101,Hollywood Police Department,195 days 10:26:05
1102,Holmes County Sheriff's Department,050 days 23:37:14
1103,Holmes County Sheriff's Office,066 days 00:47:13
1104,Homestead Police Department,083 days 02:35:26
1105,Homestead Police Department (PA),018 days 11:05:23
1106,Homewood Police Department,056 days 11:05:23
1107,Honolulu Police Department,310 days 18:12:28
1108,Hooksett Police Department,049 days 20:49:40
1109,Hoosick Falls Village Police Department,370 days 19:49:59
1110,Hopkinton Police Department,027 days 20:29:56
1111,Horn Lake Police Department,00 days 10:02:20
1112,Hornell City Police Department,350 days 05:20:00
1113,Horry County Police Department,019 days 20:00:00
1114,Horry County Sheriff's Office,906 days 10:38:50
1115,Hot Spring County Sheriff's Office,010 days 10:14:22
1116,Houston County Sheriff,07 days 12:58:14
1117,Houston County Sheriff's Office,174 days 21:33:21
1118,Houston Police Department,058 days 11:46:47
1119,Howard County Police Department,251 days 14:43:41
1120,Howard County Sheriff,018 days 19:07:01
1121,Howard County Sheriff's Office,081 days 19:42:30
1122,Hudson County Sheriff's Department,029 days 21:55:13
1123,Hudson Falls Village Police Department,035 days 07:49:33
1124,Hudson Police Department,012 days 13:23:44
1125,Huerfano County Sheriffs Office,015 days 20:00:00
1126,Hughes County Sheriff's Department,07 days 19:39:33
1127,Hull Police Department,127 days 07:30:00
1128,Humboldt County Sheriff's Office,086 days 12:03:02
1129,Hunterdon County Sheriff's Office,05 days 18:29:32
1130,Huntingdon County Sheriff,073 days 00:53:50
1131,Huntington Bay Village Police Department,083 days 04:31:47
1132,Huntington Beach Police Department,069 days 02:12:35
1133,Huntington Park Police Department,050 days 13:27:56
1134,Huntington Police Department,015 days 02:27:40
1135,Huntsville Police Department,247 days 01:13:41
1136,Huron City Police Department,024 days 15:56:49
1137,Huron County Sheriff,095 days 16:25:25
1138,Hurricane City Police Department,127 days 20:00:00
1139,Hurst Police Department,01 days 20:00:00
1140,Hyattsville Police Department,191 days 03:16:05
1141,Hyde Park Town Police Department,357 days 08:50:49
1142,Iberia Parish Sheriff's Office,083 days 20:00:00
1143,Iberville Parish Sheriff's Office,309 days 23:56:00
1144,Idaho State Police,034 days 10:30:23
1145,Illinois State Police,044 days 07:50:57
1146,Imperial County Sheriff's Office,131 days 00:35:21
1147,Independence County Sheriff's Office,014 days 21:34:09
1148,Independence Police Department,322 days 10:20:46
1149,Independent Police Department,197 days 08:52:21
1150,Independent Police Review Authority,116 days 21:40:21
1151,Indian Creek Village Police Department,029 days 19:21:37
1152,Indian Hills Police Department,04 days 00:57:57
1153,Indian River County Sheriff's Department,048 days 08:14:18
1154,Indian River Shores Public Safety Department,020 days 13:22:41
1155,Indiana Integrated Public Safety Commission,037 days 20:00:00
1156,Indiana State Police,089 days 08:50:40
1157,Indiana University Police Department,048 days 22:19:26
1158,Indianapolis Metropolitan Police Department,035 days 22:14:19
1159,Ingham County Sheriff,139 days 17:11:26
1160,Inglewood Police Department,571 days 19:00:02
1161,Ingram Police Department,013 days 19:18:41
1162,Inkster Police Department,04 days 20:00:00
1163,Inlet Town Police Department,085 days 04:57:17
1164,Interlaken Village Police Department,243 days 09:42:34
1165,Inyo County Sheriff,020 days 20:51:10
1166,Ionia County Sheriff's Office,011 days 21:47:55
1167,Iosco County Sheriff's Office,014 days 18:24:06
1168,Iowa City Police Department,09 days 12:14:04
1169,Iowa Department of Public Safety,073 days 10:55:49
1170,"Iowa Department of Public Safety, Division of Criminal Investigation",00 days 20:00:00
1171,Iredell County Sheriff,017 days 15:29:20
1172,Irondale Police,045 days 08:43:28
1173,Irondequoit Police Department,049 days 06:05:10
1174,Iroquois County Sheriff's Office,021 days 19:44:09
1175,Irvine Police Department,128 days 12:32:12
1176,Irving Police Department,022 days 13:04:54
1177,Irvington Village Police Department,245 days 14:18:06
1178,Isanti County Sheriff,07 days 19:09:55
