,Agency,Avg Days Till Completion
137,Banks County Sheriff's Office,096 days 21:41:06
138,Banning Police Department,025 days 23:05:15
139,Bannock County Sheriff,04 days 17:22:15
140,Barboursville Police Dept,080 days 12:44:24
141,Barker Village Police Department,04 days 14:13:28
142,Barnstable County Sheriff's Office,013 days 17:23:04
143,Barnstable Police Department,559 days 11:40:23
144,Barren County Sheriff's Office,386 days 20:00:00
145,Barrington Police Department,035 days 08:00:00
146,Barstow Police Department,106 days 06:20:14
147,Bartlett Police Department,029 days 00:30:01
148,Bartow County Sheriff,00 days 22:43:03
149,Bartow County Sheriffs Office,00 days 22:14:52
150,Bartow Police Department,014 days 18:44:20
151,Batavia City Police Department,098 days 09:14:57
152,Baton Rouge Police Department,160 days 21:22:04
153,Batte Creek Police Department,037 days 20:00:00
154,Bay Area Rapid Transit Police,026 days 00:31:08
155,Bay City Police Department,1274 days 09:11:33
156,Bayonne Police Department,021 days 23:27:04
157,Beachwood Police,015 days 08:32:40
158,Beacon City Police Department,275 days 14:19:07
159,Bear Valley Police Department,034 days 15:35:05
160,Beaufort County Sheriff's Office,020 days 09:02:02
161,Beaufort Police Department,031 days 20:00:00
162,Beaumont Police Department,105 days 02:22:28
163,Beauregard Parish Sheriffs Office,03 days 20:26:22
164,Beaverhead County Sheriff's Office,033 days 17:36:16
165,Beaverton Police Department,010 days 10:51:26
166,Bedford Police Department,1161 days 13:00:57
167,Bedford Police Department (tx),00 days 01:27:34
168,Bedminster Twp Police,03 days 22:33:17
169,Bee Cave Police Department,017 days 19:00:00
170,Bell Gardens Police Department,033 days 05:59:07
171,Bell Police Department,016 days 17:23:58
172,Bellbrook Police Department,015 days 20:05:33
173,Belle Meade Police Department,095 days 08:45:19
174,Belleville Police Department,07 days 21:25:18
175,Bellevue Police Department,052 days 13:17:56
176,Bellingham Police Department,075 days 12:56:36
177,Bellmead Police Department,00 days 02:44:12
178,Belmar Police Department,01 days 03:56:11
179,Belmont Police Department,015 days 03:04:06
180,Beltsville Police Department,773 days 14:18:06
181,Belvedere Police Department,010 days 08:43:16
182,Ben Hill County Sheriff's Office,049 days 18:56:50
183,Benicia Police Department,099 days 20:55:13
184,Bensalem Township Police Department,050 days 01:41:31
185,Bent County Sheriff,127 days 23:11:54
186,Benton County Sheriff,032 days 19:46:12
187,Benton County Sheriff's Office,104 days 22:23:05
188,Benzie County Sheriff's Office,012 days 19:31:11
189,Bergen County (NJ) Department of Public Safety,790 days 19:00:00
190,Bergen County Police Department,201 days 03:09:36
191,Bergen County Sheriff's Office (NJ),096 days 21:09:52
192,"Bergen County Sheriff, NJ",133 days 18:43:48
193,Berkeley County Sheriff,011 days 14:22:17
194,Berkeley County Sheriff's Office,041 days 20:00:00
195,Berkeley Police Department,159 days 18:14:31
196,Berkeley Police Review Commission,026 days 12:19:56
197,Berks County Sheriff,189 days 15:21:00
198,Berkshire County Sheriff's Office,029 days 11:02:44
199,Berlin Police Department,165 days 18:30:56
200,Bernalillo County Sheriff’s Department,06 days 22:02:14
201,Bernardsville Police Department,037 days 17:21:41
202,Berrien County Sheriff,05 days 22:46:28
203,Berwyn Police Department,025 days 11:32:26
204,Bethel Park Police Department,371 days 11:11:52
205,Bethlehem Police Department,058 days 21:54:46
206,Beverly Hills Police Department,023 days 21:27:37
207,Bexar County Sheriff's Office,033 days 19:30:00
208,Bexley Police Department,08 days 19:10:23
209,Bibb County Sheriff's Office,031 days 21:07:09
210,Biddeford Police Department,015 days 20:00:00
211,Bienville Parish Sheriff's Office,030 days 08:00:00
212,Big Spring Police Department,319 days 20:00:00
213,Billings Police Department,010 days 20:00:00
214,Biloxi Police Department,048 days 11:40:00
215,Binghamton Police Department,077 days 23:20:17
216,Birmingham Police Department,266 days 04:08:18
217,Biscayne Park Police Department,028 days 06:23:24
218,Bismarck Police Department,011 days 19:45:00
219,Black River Village Police Department,102 days 00:26:00
220,Blacksburg Police Department,05 days 22:38:51
221,Blairsville Police Department,04 days 10:51:40
222,Blasdell Village Police Department,022 days 14:16:43
223,Bloomfield Police Department,017 days 21:08:56
224,Bloomingdale Police Department (IL),09 days 08:44:52
225,Bloomington Police Department,063 days 09:37:38
226,Blount County Sheriff,163 days 23:49:56
227,Blue Mound Police Department,032 days 01:00:26
228,Blue Springs Police Department,034 days 16:00:16
229,Blythe Police Department,023 days 08:55:00
230,Boca Raton Police Department,046 days 10:16:10
231,Boise Police Department,08 days 10:14:57
232,Bolingbrook Police Department,06 days 20:00:00
233,Bolivar County Sheriff,512 days 23:47:28
234,Bolivar Police Department,075 days 19:20:18
235,Bolton Town Police Department,101 days 12:16:32
236,"Bond County Sheriff's Office, Bond County",099 days 07:46:58
237,Bonner County Sheriff's Office,013 days 23:48:17
