,Agency,Avg Days Till Completion
122,BURLINGTON POLICE DEPARTMENT,9 days 19:00:00
123,Baca County Sheriff,474 days 11:59:19.532806496
124,Baker County Sheriff,14 days 19:10:08.459538
125,Baker County Sheriff's Office,15 days 16:08:23.591978
126,Bakersfield Police Department,113 days 22:50:35.344825666
127,Bal Harbour Police Department,30 days 23:36:48.735329
128,Baldwin County Sheriff's Office,23 days 16:42:01.257379
129,Baldwin Park Police Department,293 days 20:00:00
130,Baldwinsville Village Police Department,232 days 00:35:08.140629
131,Ball Ground Police Department,8 days 18:56:36.998570500
132,Ballston Spa Village Police Department,1 days 11:00:56.745992
133,Baltimore County Police Department,104 days 06:48:41.736691356
134,"Baltimore County, Md Sheriff's Office",112 days 23:38:25.080474
135,Baltimore Police Department,61 days 13:53:11.290538486
136,Bangor Police Department,11 days 08:41:27.486997
137,Banks County Sheriff's Office,96 days 21:41:05.770221
138,Banning Police Department,25 days 23:05:15.342053
139,Bannock County Sheriff,4 days 17:22:14.907007
140,Barboursville Police Dept,80 days 12:44:24.001371
141,Barker Village Police Department,4 days 14:13:28.164158
142,Barnstable County Sheriff's Office,13 days 17:23:04.233068250
143,Barnstable Police Department,559 days 11:40:23.286467416
144,Barren County Sheriff's Office,386 days 20:00:00
145,Barrington Police Department,35 days 08:00:00
146,Barstow Police Department,106 days 06:20:13.539931500
147,Bartlett Police Department,29 days 00:30:01.540733666
148,Bartow County Sheriff,0 days 22:43:03.049841
149,Bartow County Sheriffs Office,0 days 22:14:51.911786
150,Bartow Police Department,14 days 18:44:20.273428
151,Batavia City Police Department,98 days 09:14:56.964238
152,Baton Rouge Police Department,160 days 21:22:03.927161732
153,Batte Creek Police Department,37 days 20:00:00
154,Bay Area Rapid Transit Police,26 days 00:31:07.550158666
155,Bay City Police Department,1274 days 09:11:33.126674
156,Bayonne Police Department,21 days 23:27:03.969977
157,Beachwood Police,15 days 08:32:39.553887500
158,Beacon City Police Department,275 days 14:19:07.120903836
159,Bear Valley Police Department,34 days 15:35:05.148776
160,Beaufort County Sheriff's Office,20 days 09:02:01.666666666
161,Beaufort Police Department,31 days 20:00:00
162,Beaumont Police Department,105 days 02:22:27.453865166
163,Beauregard Parish Sheriffs Office,3 days 20:26:21.765349
164,Beaverhead County Sheriff's Office,33 days 17:36:15.772169
165,Beaverton Police Department,10 days 10:51:26.124993
166,Bedford Police Department,1161 days 13:00:56.942706
167,Bedford Police Department (tx),0 days 01:27:33.495581500
168,Bedminster Twp Police,3 days 22:33:16.512827
169,Bee Cave Police Department,17 days 19:00:00
170,Bell Gardens Police Department,33 days 05:59:07.426790666
171,Bell Police Department,16 days 17:23:58.006211500
172,Bellbrook Police Department,15 days 20:05:32.607291333
173,Belle Meade Police Department,95 days 08:45:19.174484
174,Belleville Police Department,7 days 21:25:17.850000
175,Bellevue Police Department,52 days 13:17:56.103571611
176,Bellingham Police Department,75 days 12:56:36.055854333
177,Bellmead Police Department,0 days 02:44:12.050218
178,Belmar Police Department,1 days 03:56:10.831617
179,Belmont Police Department,15 days 03:04:06.042937142
180,Beltsville Police Department,773 days 14:18:05.858829
181,Belvedere Police Department,10 days 08:43:15.828133
182,Ben Hill County Sheriff's Office,49 days 18:56:49.679260
183,Benicia Police Department,99 days 20:55:13.361616
184,Bensalem Township Police Department,50 days 01:41:31.189975
185,Bent County Sheriff,127 days 23:11:54.403528
186,Benton County Sheriff,32 days 19:46:12.356020
187,Benton County Sheriff's Office,104 days 22:23:05.129384800
188,Benzie County Sheriff's Office,12 days 19:31:11.088161
189,Bergen County (NJ) Department of Public Safety,790 days 19:00:00
190,Bergen County Police Department,201 days 03:09:35.993279666
191,Bergen County Sheriff's Office (NJ),96 days 21:09:51.905269750
192,"Bergen County Sheriff, NJ",133 days 18:43:47.827513
193,Berkeley County Sheriff,11 days 14:22:16.977071500
194,Berkeley County Sheriff's Office,41 days 20:00:00
195,Berkeley Police Department,159 days 18:14:30.648339760
196,Berkeley Police Review Commission,26 days 12:19:55.719792
197,Berks County Sheriff,189 days 15:20:59.733523
198,Berkshire County Sheriff's Office,29 days 11:02:43.454856
199,Berlin Police Department,165 days 18:30:56.151428
200,Bernalillo County Sheriff’s Department,6 days 22:02:14.225131
201,Bernardsville Police Department,37 days 17:21:41.121671500
202,Berrien County Sheriff,5 days 22:46:28.241069
203,Berwyn Police Department,25 days 11:32:25.391104
204,Bethel Park Police Department,371 days 11:11:52.358865004
205,Bethlehem Police Department,58 days 21:54:46.060648250
206,Beverly Hills Police Department,23 days 21:27:37.359479571
207,Bexar County Sheriff's Office,33 days 19:30:00
208,Bexley Police Department,8 days 19:10:23.466132
209,Bibb County Sheriff's Office,31 days 21:07:09.362003
210,Biddeford Police Department,15 days 20:00:00
211,Bienville Parish Sheriff's Office,30 days 08:00:00
212,Big Spring Police Department,319 days 20:00:00
213,Billings Police Department,10 days 20:00:00
214,Biloxi Police Department,48 days 11:40:00
215,Binghamton Police Department,77 days 23:20:17.157910625
216,Birmingham Police Department,266 days 04:08:18.535541500
217,Biscayne Park Police Department,28 days 06:23:24.485092
218,Bismarck Police Department,11 days 19:45:00
219,Black River Village Police Department,102 days 00:25:59.722213
220,Blacksburg Police Department,5 days 22:38:51.146935400
221,Blairsville Police Department,4 days 10:51:40.729067500
222,Blasdell Village Police Department,22 days 14:16:42.620158
223,Bloomfield Police Department,17 days 21:08:55.965998250
224,Bloomingdale Police Department (IL),9 days 08:44:51.666424
225,Bloomington Police Department,63 days 09:37:38.176871818
226,Blount County Sheriff,163 days 23:49:56.098539
227,Blue Mound Police Department,32 days 01:00:26.029941
